id,name,image,description,price,status,type,created_at,updated_at
1,"Cà phê sữa đậm 9",uploads/food/dee1a264-f995-460c-ae35-0f6e6436e7a5_anhcaphe1.webp,"Cà phê đậm, thêm sữa 4",22,0,food,"2025-07-21 10:17:34","2025-07-25 18:45:56"
2,"Cà phê sữa đậm 5",uploads/food/7e9c2054-187a-4f63-9802-26353f4d483a_caphesua.jpg,"Cà phê đậm, thêm sữa 5",22,1,drink,"2025-07-21 11:27:03","2025-07-25 16:39:53"
3,"Cà đậm 5",uploads/food/7ddeffb8-30c8-419f-931f-1be2e11039ec_caphesua.jpg,"Cà phê đậm, thêm sữa 5",22,1,food,"2025-07-21 11:27:11","2025-07-21 11:27:11"
4,"Cà đậm 5",uploads/drink/10be64a1-1800-4fb3-a542-e1802ccb46e0_anhcaphe3.jpg,"Cà phê đậm, thêm sữa 5",22,1,drink,"2025-07-21 21:16:42","2025-07-25 18:47:52"
5,"Cà phê 5",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Cà phê đậm, thêm sữa 5",22,1,drink,"2025-07-21 21:34:29","2025-07-21 21:34:29"
6,"Cà phê 6",uploads/drink/d31437fe-ce6a-49a2-a83e-1d4c6c936213_anhcaphe2.jpg,"Cà phê đậm, thêm sữa 5",36,1,drink,"2025-07-22 07:18:02","2025-07-25 18:47:56"
7,"Cà phê 7",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Cà phê đậm, thêm sữa 5",21,1,food,"2025-07-22 07:18:17","2025-07-22 07:18:17"
8,"Cà phê 8",uploads/food/364f77a4-46a5-4132-8a2b-053a053fac6a_anhcaphe1.webp,"Cà phê đậm, thêm sữa 5",36,1,food,"2025-07-22 07:19:22","2025-07-25 18:46:02"
9,"Cà phê 9",uploads/drink/98ba059f-1ff6-4520-a5ab-9a416c48b252_caphesua.jpg,"Cà phê đậm, thêm sữa 5",15,1,drink,"2025-07-22 07:19:33","2025-07-22 07:19:33"
10,"Cà phê sữa đặc biệt 1",uploads/food/5e0a56e7-2ec1-4535-ad5e-f05fc94cf30d_anhcaphe2.jpg,"Vị cà phê sữa đặc biệt thơm ngon",25,1,food,"2025-07-25 09:00:00","2025-07-25 18:46:07"
11,"Cà phê đá lạnh 2",uploads/food/7e9c2054-187a-4f63-9802-26353f4d483a_caphesua.jpg,"Cà phê đá lạnh truyền thống",20,1,drink,"2025-07-25 09:01:00","2025-07-25 09:01:00"
12,"Cà phê sữa truyền thống 3",uploads/food/7ddeffb8-30c8-419f-931f-1be2e11039ec_caphesua.jpg,"Cà phê sữa vị truyền thống",22,1,food,"2025-07-25 09:02:00","2025-07-25 09:02:00"
13,"Cà phê đen đặc 4",uploads/drink/64c23fc4-b95c-4e08-b8bb-17b402239915_anhcaphe1.webp,"Cà phê đen đậm đặc",18,1,drink,"2025-07-25 09:03:00","2025-07-25 18:48:01"
14,"Cà phê sữa đá 5",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Cà phê sữa đá mát lạnh",24,1,drink,"2025-07-25 09:04:00","2025-07-25 09:04:00"
15,"Cà phê mạnh 6",uploads/food/23c226f4-b101-4d09-8a44-fd546896e49b_anhcaphe1.webp,"Cà phê vị mạnh dành cho người sành",30,1,food,"2025-07-25 09:05:00","2025-07-25 18:48:27"
16,"Cà phê sữa thơm 7",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Thơm béo, đậm đà",26,0,food,"2025-07-25 09:06:00","2025-07-25 16:39:41"
17,"Cà phê vị caramel 8",uploads/food/0a19a183-fc11-4cc3-8d52-45e10cd7ef6c_anhcaphe2.jpg,"Cà phê sữa với hương caramel ngọt nhẹ",28,1,food,"2025-07-25 09:07:00","2025-07-25 18:46:13"
18,"Cà phê mocha 9",uploads/drink/98ba059f-1ff6-4520-a5ab-9a416c48b252_caphesua.jpg,"Cà phê kết hợp với socola",32,1,drink,"2025-07-25 09:08:00","2025-07-25 09:08:00"
